FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-01-02,Republic Airline,Republic Airline: YX,YX,20452,3467,ORD,"Chicago, IL",DCA,"Washington, DC",1935,,,,,,,2241,,,CANCELLED,B,NOT DIVERTED,126.0,,,612.0,,,,,,2022
2022-06-09,JetBlue Airways,JetBlue Airways: B6,B6,20409,1319,BOS,"Boston, MA",MIA,"Miami, FL",1408,,,,,,,1737,,,CANCELLED,A,NOT DIVERTED,209.0,,,1258.0,,,,,,2022
2022-01-03,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5596,SBA,"Santa Barbara, CA",LAX,"Los Angeles, CA",600,,,,,,,701,,,CANCELLED,C,NOT DIVERTED,61.0,,,89.0,,,,,,2022
2022-06-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1143,SEA,"Seattle, WA",ANC,"Anchorage, AK",731,,,,,,,1007,,,CANCELLED,A,NOT DIVERTED,216.0,,,1448.0,,,,,,2022
2022-03-26,Horizon Air,Horizon Air: QX,QX,19687,2149,ANC,"Anchorage, AK",FAI,"Fairbanks, AK",2030,,,,,,,2135,,,CANCELLED,A,NOT DIVERTED,65.0,,,261.0,,,,,,2022
2022-07-03,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5088,ORF,"Norfolk, VA",PHL,"Philadelphia, PA",825,,,,,,,931,,,CANCELLED,B,NOT DIVERTED,66.0,,,212.0,,,,,,2022
2022-12-25,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1150,RSW,"Fort Myers, FL",DTW,"Detroit, MI",1620,,,,,,,1917,,,CANCELLED,B,NOT DIVERTED,177.0,,,1084.0,,,,,,2022
2022-03-14,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1983,MSY,"New Orleans, LA",HOU,"Houston, TX",615,,,,,,,740,,,CANCELLED,A,NOT DIVERTED,85.0,,,302.0,,,,,,2022
2022-05-30,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2227,MSY,"New Orleans, LA",LAX,"Los Angeles, CA",1942,,,,,,,2158,,,CANCELLED,A,NOT DIVERTED,256.0,,,1670.0,,,,,,2022
2022-01-03,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5031,GSP,"Greer, SC",DCA,"Washington, DC",745,,,,,,,910,,,CANCELLED,B,NOT DIVERTED,85.0,,,396.0,,,,,,2022
2022-11-05,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,241,LAS,"Las Vegas, NV",ORD,"Chicago, IL",1125,,,,,,,1710,,,CANCELLED,C,NOT DIVERTED,225.0,,,1514.0,,,,,,2022
2022-01-17,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,599,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",615,,,,,,,805,,,CANCELLED,B,NOT DIVERTED,290.0,,,1747.0,,,,,,2022
2022-01-10,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5272,GPT,"Gulfport/Biloxi, MS",CLT,"Charlotte, NC",1436,,,,,,,1726,,,CANCELLED,A,NOT DIVERTED,110.0,,,577.0,,,,,,2022
2022-01-04,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4330,MQT,"Marquette, MI",DTW,"Detroit, MI",615,,,,,,,742,,,CANCELLED,A,NOT DIVERTED,87.0,,,349.0,,,,,,2022
2022-05-23,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1649,MCO,"Orlando, FL",CLT,"Charlotte, NC",1340,,,,,,,1522,,,CANCELLED,B,NOT DIVERTED,102.0,,,468.0,,,,,,2022
2022-04-08,JetBlue Airways,JetBlue Airways: B6,B6,20409,1237,BOS,"Boston, MA",DTW,"Detroit, MI",2030,,,,,,,2242,,,CANCELLED,A,NOT DIVERTED,132.0,,,632.0,,,,,,2022
2022-12-24,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,720,MCO,"Orlando, FL",AUS,"Austin, TX",1010,,,,,,,1200,,,CANCELLED,A,NOT DIVERTED,170.0,,,994.0,,,,,,2022
2022-08-04,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5645,CLT,"Charlotte, NC",ILM,"Wilmington, NC",1821,,,,,,,1927,,,CANCELLED,B,NOT DIVERTED,66.0,,,185.0,,,,,,2022
2022-07-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2678,SFO,"San Francisco, CA",BZN,"Bozeman, MT",1155,,,,,,,1509,,,CANCELLED,A,NOT DIVERTED,134.0,,,807.0,,,,,,2022
2022-03-12,JetBlue Airways,JetBlue Airways: B6,B6,20409,1685,BOS,"Boston, MA",PIT,"Pittsburgh, PA",1651,,,,,,,1845,,,CANCELLED,C,NOT DIVERTED,114.0,,,496.0,,,,,,2022
2022-12-24,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5062,CAK,"Akron, OH",DCA,"Washington, DC",605,,,,,,,733,,,CANCELLED,B,NOT DIVERTED,88.0,,,274.0,,,,,,2022
2022-05-04,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,732,AUS,"Austin, TX",DAL,"Dallas, TX",1850,,,,,,,1955,,,CANCELLED,A,NOT DIVERTED,65.0,,,189.0,,,,,,2022
2022-07-28,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1333,CLT,"Charlotte, NC",MIA,"Miami, FL",600,,,,,,,756,,,CANCELLED,B,NOT DIVERTED,116.0,,,650.0,,,,,,2022
2022-05-22,Envoy Air,Envoy Air: MQ,MQ,20398,3678,AGS,"Augusta, GA",DCA,"Washington, DC",1730,,,,,,,1911,,,CANCELLED,B,NOT DIVERTED,101.0,,,468.0,,,,,,2022
2022-02-07,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,1182,MCO,"Orlando, FL",PVD,"Providence, RI",830,,,,,,,1113,,,CANCELLED,A,NOT DIVERTED,163.0,,,1072.0,,,,,,2022
2022-07-01,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2680,ATL,"Atlanta, GA",BUF,"Buffalo, NY",2159,,,,,,,3,,,CANCELLED,A,NOT DIVERTED,124.0,,,712.0,,,,,,2022
2022-04-19,Republic Airline,Republic Airline: YX,YX,20452,5603,CLT,"Charlotte, NC",LGA,"New York, NY",1807,,,,,,,2011,,,CANCELLED,A,NOT DIVERTED,124.0,,,544.0,,,,,,2022
2022-06-02,Republic Airline,Republic Airline: YX,YX,20452,3409,ATL,"Atlanta, GA",IAD,"Washington, DC",1434,,,,,,,1625,,,CANCELLED,B,NOT DIVERTED,111.0,,,534.0,,,,,,2022
2022-02-17,Envoy Air,Envoy Air: MQ,MQ,20398,3904,ORD,"Chicago, IL",DBQ,"Dubuque, IA",2005,,,,,,,2110,,,CANCELLED,B,NOT DIVERTED,65.0,,,147.0,,,,,,2022
2022-01-05,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,614,SMF,"Sacramento, CA",SEA,"Seattle, WA",1020,,,,,,,1222,,,CANCELLED,A,NOT DIVERTED,122.0,,,605.0,,,,,,2022
2022-01-06,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,722,BOS,"Boston, MA",DTW,"Detroit, MI",910,,,,,,,1135,,,CANCELLED,A,NOT DIVERTED,145.0,,,632.0,,,,,,2022
2022-09-22,Republic Airline,Republic Airline: YX,YX,20452,5809,CMH,"Columbus, OH",LGA,"New York, NY",1206,,,,,,,1359,,,CANCELLED,C,NOT DIVERTED,113.0,,,479.0,,,,,,2022
2022-01-05,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2699,PBI,"West Palm Beach/Palm Beach, FL",JFK,"New York, NY",1216,,,,,,,1500,,,CANCELLED,A,NOT DIVERTED,164.0,,,1028.0,,,,,,2022
2022-03-18,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5628,GNV,"Gainesville, FL",CLT,"Charlotte, NC",1457,,,,,,,1633,,,CANCELLED,A,NOT DIVERTED,96.0,,,388.0,,,,,,2022
2022-06-02,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,532,EWR,"Newark, NJ",DTW,"Detroit, MI",605,,,,,,,755,,,CANCELLED,A,NOT DIVERTED,110.0,,,488.0,,,,,,2022
2022-02-04,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2444,DFW,"Dallas/Fort Worth, TX",IAH,"Houston, TX",1220,,,,,,,1329,,,CANCELLED,B,NOT DIVERTED,69.0,,,224.0,,,,,,2022
2022-07-27,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5276,DCA,"Washington, DC",TYS,"Knoxville, TN",1354,,,,,,,1536,,,CANCELLED,B,NOT DIVERTED,102.0,,,437.0,,,,,,2022
2022-02-04,Republic Airline,Republic Airline: YX,YX,20452,4784,DCA,"Washington, DC",IND,"Indianapolis, IN",1000,,,,,,,1200,,,CANCELLED,B,NOT DIVERTED,120.0,,,500.0,,,,,,2022
2022-12-23,Horizon Air,Horizon Air: QX,QX,19687,2504,SEA,"Seattle, WA",MFR,"Medford, OR",2240,,,,,,,2359,,,CANCELLED,B,NOT DIVERTED,79.0,,,352.0,,,,,,2022
2022-04-25,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,169,SEA,"Seattle, WA",SJC,"San Jose, CA",740,,,,,,,950,,,CANCELLED,A,NOT DIVERTED,130.0,,,696.0,,,,,,2022
2022-11-11,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2466,DFW,"Dallas/Fort Worth, TX",OMA,"Omaha, NE",1449,,,,,,,1633,,,CANCELLED,B,NOT DIVERTED,104.0,,,583.0,,,,,,2022
2022-03-31,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1050,DFW,"Dallas/Fort Worth, TX",BHM,"Birmingham, AL",2105,,,,,,,2247,,,CANCELLED,A,NOT DIVERTED,102.0,,,597.0,,,,,,2022
2022-10-08,JetBlue Airways,JetBlue Airways: B6,B6,20409,1103,BDL,"Hartford, CT",RSW,"Fort Myers, FL",1455,,,,,,,1804,,,CANCELLED,C,NOT DIVERTED,189.0,,,1180.0,,,,,,2022
2022-03-17,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5520,DEN,"Denver, CO",PSC,"Pasco/Kennewick/Richland, WA",1126,,,,,,,1311,,,CANCELLED,B,NOT DIVERTED,165.0,,,852.0,,,,,,2022
2022-12-27,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1888,DSM,"Des Moines, IA",STL,"St. Louis, MO",550,,,,,,,710,,,CANCELLED,A,NOT DIVERTED,80.0,,,259.0,,,,,,2022
2022-02-02,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4679,BNA,"Nashville, TN",ORD,"Chicago, IL",1645,,,,,,,1846,,,CANCELLED,B,NOT DIVERTED,121.0,,,409.0,,,,,,2022
2022-12-23,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,105,SNA,"Santa Ana, CA",LAS,"Las Vegas, NV",730,,,,,,,840,,,CANCELLED,A,NOT DIVERTED,70.0,,,226.0,,,,,,2022
2022-01-31,JetBlue Airways,JetBlue Airways: B6,B6,20409,1566,SAT,"San Antonio, TX",BOS,"Boston, MA",1520,,,,,,,2011,,,CANCELLED,A,NOT DIVERTED,231.0,,,1764.0,,,,,,2022
2022-05-22,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1319,MCO,"Orlando, FL",EWR,"Newark, NJ",914,,,,,,,1159,,,CANCELLED,B,NOT DIVERTED,165.0,,,937.0,,,,,,2022
2022-05-15,Republic Airline,Republic Airline: YX,YX,20452,3410,CLT,"Charlotte, NC",EWR,"Newark, NJ",1754,,,,,,,2006,,,CANCELLED,A,NOT DIVERTED,132.0,,,529.0,,,,,,2022
2022-05-13,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1557,SFO,"San Francisco, CA",IAH,"Houston, TX",1305,,,,,,,1858,,,CANCELLED,C,NOT DIVERTED,233.0,,,1635.0,,,,,,2022
2022-06-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,829,MIA,"Miami, FL",JFK,"New York, NY",1526,,,,,,,1845,,,CANCELLED,A,NOT DIVERTED,199.0,,,1089.0,,,,,,2022
2022-12-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,794,OAK,"Oakland, CA",SLC,"Salt Lake City, UT",905,,,,,,,1200,,,CANCELLED,A,NOT DIVERTED,115.0,,,588.0,,,,,,2022
2022-04-01,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1810,FLL,"Fort Lauderdale, FL",PHL,"Philadelphia, PA",2218,,,,,,,59,,,CANCELLED,B,NOT DIVERTED,161.0,,,992.0,,,,,,2022
2022-08-21,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2638,ORF,"Norfolk, VA",DFW,"Dallas/Fort Worth, TX",1715,,,,,,,1932,,,CANCELLED,B,NOT DIVERTED,197.0,,,1212.0,,,,,,2022
2022-01-07,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1235,BOS,"Boston, MA",AUS,"Austin, TX",710,,,,,,,1057,,,CANCELLED,B,NOT DIVERTED,287.0,,,1698.0,,,,,,2022
2022-05-16,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,432,LGA,"New York, NY",DFW,"Dallas/Fort Worth, TX",1505,1459.0,-6.0,,,,,1810,,,CANCELLED,C,NOT DIVERTED,245.0,,,1389.0,,,,,,2022
2022-08-10,Envoy Air,Envoy Air: MQ,MQ,20398,3324,DFW,"Dallas/Fort Worth, TX",LBB,"Lubbock, TX",1654,,,,,,,1802,,,CANCELLED,B,NOT DIVERTED,68.0,,,282.0,,,,,,2022
2022-05-28,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2116,TPA,"Tampa, FL",LGA,"New York, NY",700,,,,,,,946,,,CANCELLED,A,NOT DIVERTED,166.0,,,1010.0,,,,,,2022
2022-02-25,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4075,DTW,"Detroit, MI",ALB,"Albany, NY",714,,,,,,,859,,,CANCELLED,B,NOT DIVERTED,105.0,,,489.0,,,,,,2022
2022-06-24,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2476,STL,"St. Louis, MO",BOS,"Boston, MA",1055,,,,,,,1447,,,CANCELLED,B,NOT DIVERTED,172.0,,,1047.0,,,,,,2022
2022-01-10,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1457,DEN,"Denver, CO",LGA,"New York, NY",1120,,,,,,,1701,,,CANCELLED,A,NOT DIVERTED,221.0,,,1620.0,,,,,,2022
2022-09-29,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1017,TPA,"Tampa, FL",BOS,"Boston, MA",1125,,,,,,,1431,,,CANCELLED,B,NOT DIVERTED,186.0,,,1185.0,,,,,,2022
2022-04-14,JetBlue Airways,JetBlue Airways: B6,B6,20409,385,JFK,"New York, NY",RDU,"Raleigh/Durham, NC",2030,,,,,,,2225,,,CANCELLED,B,NOT DIVERTED,115.0,,,427.0,,,,,,2022
